year,country,value,row_norm
1948,USA,0.05655380393578934,1.0
1948,GBR,0.041198720081409616,0.7284871611498717
1948,CAN,0.050861821712069606,0.8993527963179566
1948,FRA,0.023668599050201414,0.4185147134766482
1948,IND,0.023953965797566125,0.4235606472159368
1948,ARG,0.02307295216360565,0.4079823205137972
1948,AUS,0.02748771453286004,0.48604536953993993
1948,DEU,0.026640304405718702,0.4710612293377445
1948,NLD,0.013041719360933696,0.23060728816298798
1948,ITA,0.017252161328485626,0.3050574873455651
1948,BRA,0.028559982004013756,0.5050054994786998
1948,SWE,0.012701652135339853,0.22459412544134413
1948,VEN,0.025987688833061257,0.45952150031441624
1948,CHE,0.00746782982231155,0.13204823199497692
1948,ZAF,0.019311435889113965,0.34147014957720595
1948,CUB,0.024925179126441294,0.44073390986645405
1948,MEX,0.0263695967234827,0.46627450124172887
1948,EGY,0.008204595216819778,0.14507592143819711
1948,DNK,0.007472311594485725,0.13212747992990387
1948,NOR,0.0018445427338782726,0.032615714691315
1948,PAK,0.011495378437946487,0.203264460353511
1948,PHL,0.021983203932686126,0.3887130909469087
1948,NZL,0.016984823121773397,0.3003303392475209
1948,DZA,0.012229025570990188,0.21623701183522348
1948,ANT,0.012170996525103775,0.2152109261991043
1948,IRN,0.009129829435189885,0.1614361687421735
1948,JPN,0.012873736367077473,0.22763696641333256
1948,IRL,0.014791086409070604,0.26154008006011875
1948,FIN,0.0017369107159595704,0.0307125355870251
1948,POL,-0.007152798285383587,-0.12647775724343507
1949,USA,0.05640897946999266,1.0
1949,GBR,0.043967356177246106,0.7794389579523415
1949,CAN,0.05173508340305244,0.9171426941090727
1949,FRA,0.022938701160854502,0.40664981668489464
1949,DEU,0.026827097107475047,0.47558203249796427
1949,IND,0.023559244786655806,0.41765061179999524
1949,AUS,0.03092580035113176,0.5482425075174965
1949,NLD,0.015531976524830985,0.2753458167612017
1949,ITA,0.017662450468797494,0.31311416435380146
1949,BRA,0.02782634632752279,0.4932963969384573
1949,SWE,0.011909423028952416,0.21112636925629466
1949,CHE,0.006041917349258623,0.10710914124005173
1949,DNK,0.015582475168264383,0.27624104025058
1949,JPN,0.019145628700747885,0.33940746456745596
1949,CUB,0.024258628099567164,0.43004905118823844
1949,MEX,0.026062561082890987,0.4620285870754892
1949,ZAF,0.01570541228473609,0.2784204293766872
1949,NZL,0.02000414636978694,0.35462698594695113
1949,NOR,0.005093995662108409,0.090304694571158
1949,EGY,0.004779408304999176,0.08472779245264721
1949,ARG,0.0020315879603902765,0.03601532911034139
1949,PHL,0.021138934966340134,0.37474414827137953
1949,DZA,0.011688297781748439,0.20720633295566265
1949,IDN,0.004547397100629067,0.0806147734519484
1949,HKG,0.0014101564948739286,0.024998794662188063
1949,VEN,0.018104352703450722,0.32094806311965846
1949,PAK,0.0017395077826380461,0.030837426930643112
1949,IRL,0.016086648236592383,0.2851788560569482
1949,AUT,6.95336190236328e-05,0.001232669331673017
1949,FIN,0.0010554319063528685,0.018710352789032755
1950,USA,0.059570645297342906,1.0
1950,GBR,0.041856789845788944,0.7026412025060929
1950,CAN,0.05359842831354491,0.8997456389134603
1950,FRA,0.0262304964797347,0.44032587441023885
1950,DEU,0.02337601358707055,0.3924082653526873
1950,NLD,0.01756598762070109,0.2948765710531023
1950,AUS,0.030145787291846925,0.5060510447952383
1950,ITA,0.0165873314156691,0.27844807342399164
1950,BRA,0.03149301810879258,0.5286667275735771
1950,IND,0.020559863582929935,0.34513414250100444
1950,SWE,0.013385946893584431,0.22470709905473357
1950,CHE,0.008323116472664377,0.13971842055965814
1950,JPN,0.021641934209223467,0.3632986364542334
1950,DNK,0.015661591450732933,0.2629078696824441
1950,CUB,0.02714264473486092,0.4556379169535636
1950,MEX,0.029277670260982838,0.4914781452315196
1950,NOR,0.005001143071924828,0.08395314583150737
1950,EGY,0.005559574078254884,0.09332741068196661
1950,HKG,0.001979529708089116,0.03322995240706938
1950,NZL,0.01892869501259508,0.31775205586768046
1950,PAK,0.0026677225943450658,0.04478250287585951
1950,IDN,0.005882639148879701,0.09875063665194325
1950,COL,0.020443883690985157,0.34318721224087595
1950,ZAF,0.011150025727916837,0.18717315671606757
1950,DZA,0.013524488064398817,0.227032760798414
1950,ARG,-2.068227726258065e-05,-0.00034718907541367804
1950,PHL,0.018094123880458574,0.3037422843103841
1950,IRL,0.014467684442650515,0.24286600171000386
1950,AUT,-0.0020643941891040165,-0.03465455475259216
1950,VEN,0.014821219186140488,0.24880071572435317
1951,USA,0.067421875886428,1.0
1951,GBR,0.045133779946124324,0.6694233785804488
1951,CAN,0.06144060870636939,0.9112859572442918
1951,FRA,0.03272259587635176,0.48534092898086817
1951,DEU,0.0269791361612604,0.4001540420902363
1951,NLD,0.02087715315980333,0.30964954453315485
1951,AUS,0.03161862707902817,0.468966884461798
1951,ITA,0.022360575037521833,0.3316516300315964
1951,BRA,0.03715940140880265,0.5511475455147166
1951,IND,0.027738792299767563,0.41142124770443195
1951,SWE,0.01976576564405505,0.29316546572139934
1951,JPN,0.025558276631743017,0.3790798801682094
1951,VEN,0.028276617237221115,0.4193982571006035
1951,CHE,0.011911730837164526,0.17667456861078457
1951,DNK,0.01606608695233827,0.23829190067926256
1951,MEX,0.03196645208896922,0.4741258184927491
1951,CUB,0.02872100657381896,0.4259894314153974
1951,IDN,0.013933003192449427,0.20665404231587295
1951,NOR,0.009706560377785656,0.14396752167110174
1951,PAK,0.005827175634713863,0.0864285598420567
1951,NZL,0.021327033961823,0.31632216816020275
1951,FIN,0.010592722413786615,0.1571110603868399
